number,season,episode,airdate,title,tvmaze link
# Linea de comentario
189,9,11,04 Jan 98,"All Singing, All Dancing","https://www.tvmaze.com/episodes/5186/the-simpsons-9x11-all-singing-all-dancing"
190,9,12,11 Jan 98,"Bart Carny","https://www.tvmaze.com/episodes/5187/the-simpsons-9x12-bart-carny"
191,9,13,08 Feb 98,"The Joy of Sect","https://www.tvmaze.com/episodes/5188/the-simpsons-9x13-the-joy-of-sect"
192,9,14,15 Feb 98,"Das Bus","https://www.tvmaze.com/episodes/5189/the-simpsons-9x14-das-bus"
193,9,15,22 Feb 98,"The Last Temptation of Krusty","https://www.tvmaze.com/episodes/5190/the-simpsons-9x15-the-last-temptation-of-krusty"
194,9,16,01 Mar 98,"Dumbbell Indemnity","https://www.tvmaze.com/episodes/5191/the-simpsons-9x16-dumbbell-indemnity"
195,9,17,08 Mar 98,"Lisa the Simpson","https://www.tvmaze.com/episodes/5192/the-simpsons-9x17-lisa-the-simpson"
196,9,18,22 Mar 98,"This Little Wiggy","https://www.tvmaze.com/episodes/5193/the-simpsons-9x18-this-little-wiggy"
197,9,19,29 Mar 98,"Simpson Tide","https://www.tvmaze.com/episodes/5194/the-simpsons-9x19-simpson-tide"
198,9,20,05 Apr 98,"The Trouble with Trillions","https://www.tvmaze.com/episodes/5195/the-simpsons-9x20-the-trouble-with-trillions"
199,9,21,19 Apr 98,"Girly Edition","https://www.tvmaze.com/episodes/5196/the-simpsons-9x21-girly-edition"
200,9,22,26 Apr 98,"Trash of the Titans","https://www.tvmaze.com/episodes/5197/the-simpsons-9x22-trash-of-the-titans"
201,9,23,03 May 98,"King of the Hill","https://www.tvmaze.com/episodes/5198/the-simpsons-9x23-king-of-the-hill"
202,9,24,10 May 98,"Lost Our Lisa","https://www.tvmaze.com/episodes/5199/the-simpsons-9x24-lost-our-lisa"
203,9,25,17 May 98,"Natural Born Kissers","https://www.tvmaze.com/episodes/5200/the-simpsons-9x25-natural-born-kissers"
